ds,y,vix
2019-01-23 07:00:00,3569.56,41.068
2019-01-23 08:00:00,3567.01,42.028
2019-01-23 09:00:00,3565.66,41.298
2019-01-23 10:00:00,3561.06,40.818
2019-01-23 11:00:00,3576.68,40.718
2019-01-23 12:00:00,3572.5,39.987
2019-01-23 13:00:00,3579.62,39.987
2019-01-23 14:00:00,3576.47,39.987
2019-01-23 15:00:00,3569.53,39.987
2019-01-23 16:00:00,3568.6,39.987
2019-01-23 17:00:00,3574.69,39.987
2019-01-23 18:00:00,3572.75,39.987
2019-01-23 19:00:00,3556.81,39.987
2019-01-23 20:00:00,3533.46,39.987
2019-01-23 21:00:00,3536.06,39.987
2019-01-23 22:00:00,3552.7,39.987
2019-01-23 23:00:00,3548.85,39.987
2019-01-24 00:00:00,3553.17,39.987
2019-01-24 01:00:00,3543.26,39.987
2019-01-24 02:00:00,3542.14,39.987
2019-01-24 03:00:00,3536.7,39.987
2019-01-24 04:00:00,3538.74,39.987
2019-01-24 05:00:00,3529.89,39.987
2019-01-24 06:00:00,3535.53,40.248
2019-01-24 07:00:00,3541.42,39.258
2019-01-24 08:00:00,3542.34,39.097
2019-01-24 09:00:00,3538.37,39.878
2019-01-24 10:00:00,3540.52,39.697
2019-01-24 11:00:00,3552.93,39.127
2019-01-24 12:00:00,3557.98,38.728
2019-01-24 13:00:00,3568.8,38.728
2019-01-24 14:00:00,3565.11,38.728
2019-01-24 15:00:00,3556.05,38.728
2019-01-24 16:00:00,3555.56,38.728
2019-01-24 17:00:00,3557.58,38.728
2019-01-24 18:00:00,3560.2,38.728
2019-01-24 19:00:00,3580.25,38.728
2019-01-24 20:00:00,3577.8,38.728
2019-01-24 21:00:00,3568.63,38.728
2019-01-24 22:00:00,3571.29,38.728
2019-01-24 23:00:00,3567.77,38.728
2019-01-25 00:00:00,3570.95,38.728
2019-01-25 01:00:00,3571.61,38.728
2019-01-25 02:00:00,3573.3,38.728
2019-01-25 03:00:00,3572.05,38.728
2019-01-25 04:00:00,3571.66,38.728
2019-01-25 05:00:00,3559.17,38.728
2019-01-25 06:00:00,3567.84,37.682
2019-01-25 07:00:00,3564.49,37.64
2019-01-25 08:00:00,3539.79,37.501
2019-01-25 09:00:00,3551.29,37.567
2019-01-25 10:00:00,3541.42,37.517
2019-01-25 11:00:00,3536.88,37.25
2019-01-25 12:00:00,3534.62,37.248
2019-01-25 13:00:00,3545.85,37.248
2019-01-25 14:00:00,3547.58,37.248
2019-01-25 15:00:00,3561.52,37.248
2019-01-25 16:00:00,3555.53,37.248
2019-01-25 17:00:00,3555.46,37.248
2019-01-25 18:00:00,3545.6,37.248
2019-01-25 19:00:00,3543.86,37.248
2019-01-25 20:00:00,3547.62,37.248
2019-01-25 21:00:00,3560.14,37.248
2019-01-25 22:00:00,3560.8,37.248
2019-01-25 23:00:00,3562.41,37.248
2019-01-26 00:00:00,3562.42,37.248
2019-01-26 01:00:00,3560.94,37.248
2019-01-26 02:00:00,3562.98,37.248
2019-01-26 03:00:00,3569.03,37.248
2019-01-26 04:00:00,3566.63,37.248
2019-01-26 05:00:00,3564.66,37.248
2019-01-26 06:00:00,3575.79,37.248
2019-01-26 07:00:00,3617.4,37.248
2019-01-26 08:00:00,3610.5,37.248
2019-01-26 09:00:00,3601.68,37.248
2019-01-26 10:00:00,3597.07,37.248
2019-01-26 11:00:00,3589.59,37.248
2019-01-26 12:00:00,3578.7,37.248
2019-01-26 13:00:00,3581.54,37.248
2019-01-26 14:00:00,3579.29,37.248
2019-01-26 15:00:00,3556.06,37.248
2019-01-26 16:00:00,3551.63,37.248
2019-01-26 17:00:00,3555.09,37.248
2019-01-26 18:00:00,3558.21,37.248
2019-01-26 19:00:00,3557.94,37.248
2019-01-26 20:00:00,3558.48,37.248
2019-01-26 21:00:00,3555.8,37.248
2019-01-26 22:00:00,3563.85,37.248
2019-01-26 23:00:00,3557.75,37.248
2019-01-27 00:00:00,3538.78,37.248
2019-01-27 01:00:00,3550.45,37.248
2019-01-27 02:00:00,3559.2,37.248
2019-01-27 03:00:00,3557.92,37.248
2019-01-27 04:00:00,3555.34,37.248
2019-01-27 05:00:00,3549.36,37.248
